"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0040011","locomotion",0.136609823456661,401,1.18744629320472,0.000161627327835104,0.0010101707989694,128483,275,1205,1.42313889875264,1.34497884532548e-10,4.75982773183367e-09,1.18744629320472,"locomotion",0.0010101707989694,2.99560518980283,"conserved_human_in_mouse"
"GO:0032986","protein-DNA complex disassembly",0.0024160285114846,17,2.8464161830176,0.000162034037393531,0.00101155269621391,68255,8,20,2.49437436072281,0.00888410586235412,0.036138574751842,2.8464161830176,"protein-DNA complex disassembly",0.00101155269621391,2.99501148800064,"conserved_human_in_mouse"
"GO:0006112","energy reserve metabolic process",0.0085776562702885,40,1.88643951955871,0.000162524195847263,0.00101345179332676,42970,28,107,1.63183369393081,0.00488619514632959,0.0227994550920345,1.88643951955871,"energy reserve metabolic process",0.00101345179332676,2.99419690448464,"conserved_human_in_mouse"
"GO:0002764","immune response-regulating signaling pathway",0.0368433081089837,127,1.39442973955472,0.000162982164160274,0.00101514605105542,101265,92,512,1.12051973235595,0.126293393226074,0.233559210411301,1.39442973955472,"immune response-regulating signaling pathway",0.00101514605105542,2.99347147045581,"conserved_human_in_mouse"
"GO:0043376","regulation of CD8-positive, alpha-beta T cell differentiation",0.000317022229565961,6,7.65619644194197,0.000164406770653991,0.00102231351175687,45863,5,7,4.45423992986216,0.0016686019372505,0.0100263291709099,7.65619644194197,"regulation of CD8-positive, alpha-beta T cell differentiation",0.00102231351175687,2.99041589916567,"conserved_human_in_mouse"
"GO:0048565","digestive tract development",0.0187889131699943,73,1.57171115058054,0.000164508064185463,0.00102231351175687,152197,42,141,1.85751282181486,2.95514095817918e-05,0.000353967433452232,1.57171115058054,"digestive tract development",0.00102231351175687,2.99041589916567,"conserved_human_in_mouse"
"GO:0003206","cardiac chamber morphogenesis",0.0223722341625133,84,1.51887300470014,0.00016551432815912,0.00102637713496951,153271,43,138,1.94308147665001,6.90218783487408e-06,0.000101942882655999,1.51887300470014,"cardiac chamber morphogenesis",0.00102637713496951,2.98869303148424,"conserved_human_in_mouse"
"GO:0040036","regulation of fibroblast growth factor receptor signaling pathway",0.00414638698599181,24,2.34149342472803,0.000165538624153798,0.00102637713496951,167852,11,31,2.2127514490283,0.00659952376378987,0.0289548145803057,2.34149342472803,"regulation of fibroblast growth factor receptor signaling pathway",0.00102637713496951,2.98869303148424,"conserved_human_in_mouse"
"GO:1990144","intrinsic apoptotic signaling pathway in response to hypoxia",0.000317804275436863,6,7.63735623972628,0.000166583663877432,0.00103168291833182,24303,4,11,2.26761305520255,0.0850802461769092,0.180423090141695,7.63735623972628,"intrinsic apoptotic signaling pathway in response to hypoxia",0.00103168291833182,2.98645376005214,"conserved_human_in_mouse"
"GO:0014816","skeletal muscle satellite cell differentiation",0.00113704018606889,11,3.91352763272754,0.000167071540274089,0.00103352995969783,130643,7,12,3.6376292760541,0.00101402723922742,0.00664236593003541,3.91352763272754,"skeletal muscle satellite cell differentiation",0.00103352995969783,2.98567692963867,"conserved_human_in_mouse"
